prefix,continuation,direct_log_prob,MetaQuestionSimple_log_prob,MetaInstruct_log_prob,MetaQuestionComplex_log_prob
Spiders are insects with eight legs that make,silk,-14.933127403259277,-14.560616493225098,-14.353575706481934,-16.71678924560547
"Fingers are used for grasping, writing, grooming and other",activities,-4.959794998168945,-4.821860313415527,-4.889487266540527,-15.089621543884277
The bicycle wheels have rubber tires with an inner tube full of,air,-10.015754699707031,-9.617834091186523,-9.630680084228516,-14.43153190612793
"Apples can be eaten raw, roasted or baked in",pies,-18.33793830871582,-18.255651473999023,-18.3564510345459,-18.3494930267334
Raspberries are eaten by themselves or cooked with sugar into,jam,-9.077960014343262,-8.574116706848145,-8.251005172729492,-13.224127769470215
Igloos are built in places where snow covers the land most of the,time,-4.024874210357666,-3.0514039993286133,-3.2581043243408203,-12.234390258789062
A boy becomes a man after passing through,puberty,-12.83542537689209,-11.799989700317383,-11.867302894592285,-17.739294052124023
Earthquakes shake the ground and can knock down buildings and other,structures,-4.5646071434021,-3.1273295879364014,-3.2542953491210938,-15.919990539550781
For some operations or treatments patients have to stay at the hospital for several,weeks,-4.810608863830566,-3.5677549839019775,-4.160802841186523,-15.917557716369629
"Walls delineate a building, support the roof, and divide the space into",rooms,-8.344592094421387,-7.365200042724609,-7.265148639678955,-11.750795364379883
"Peaches have a large, red-brown stone inside which contains the",seed,-10.84395980834961,-9.164530754089355,-8.61474895477295,-13.86478328704834
"An elephant has a long nose called a trunk, which can grab things or",food,-12.696791648864746,-10.5147123336792,-10.32889175415039,-11.902099609375
Cyclones can produce very powerful winds and torrential,rain,-9.398346900939941,-6.055371284484863,-6.309749126434326,-11.526183128356934
"Plants, animals and people must drink water in order to",live,-5.022333145141602,-4.539238929748535,-3.89540433883667,-12.867398262023926
"Salmon is the most common farmed fish, though it can also be caught in the",wild,-4.5885114669799805,-4.507164478302002,-4.510038375854492,-12.4681978225708
Commuter trains transport people between suburbs and stations inside a,city,-6.314478874206543,-5.661577224731445,-5.779963493347168,-11.291487693786621
A hammer is a tool used to deliver an impact to an,object,-4.1645684242248535,-3.672823667526245,-3.0506696701049805,-11.786236763000488
"Orange juice has a sweet, acid taste and contains a lot of vitamin",C,-3.085986375808716,-2.5729308128356934,-2.7803688049316406,-7.773636817932129
"A floor is a horizontal surface inside a building, used for walking",on,-6.09739875793457,-4.890119552612305,-4.923692226409912,-10.714439392089844
The food is cooked on oil covering the bottom of the frying,pan,-3.020902633666992,-2.8177483081817627,-2.653001070022583,-12.473684310913086
"Most lettuce leaves taste bitter, but some are bred to remove the",bitterness,-19.29100227355957,-19.59906005859375,-19.67120361328125,-18.814298629760742
"Lettuce can be eaten cold and raw, in salads and other dishes, or",cooked,-8.2037353515625,-6.5556440353393555,-6.689123630523682,-11.603792190551758
A window is a transparent opening in a wall to let light,through,-5.089681148529053,-4.635349750518799,-4.651538372039795,-13.858830451965332
Accordions produce sound with bellows that blow air through,reeds,-16.92721176147461,-15.51287841796875,-15.338339805603027,-19.41426658630371
A log cabin is a small house built from round,logs,-6.847885608673096,-5.773656845092773,-5.670794486999512,-11.78261661529541
An earthquake at sea can displace the seabed and cause a,tsunami,-19.627206802368164,-18.619760513305664,-19.18147087097168,-20.044343948364258
Spiders use venomous fangs to paralyse their stuck,prey,-7.198504447937012,-6.724791526794434,-6.828494548797607,-16.366039276123047
Mountaineers are people who climb or hike up,mountains,-4.915781021118164,-3.724177837371826,-3.7951998710632324,-9.353096961975098
"The greatest producers are tropical countries, such as India or",Ecuador,-22.488142013549805,-21.627182006835938,-21.390302658081055,-19.469654083251953
The eye is an organ for sensing light and coding it for the visual,cortex,-22.57819938659668,-21.34695816040039,-21.917634963989258,-18.706745147705078
"Most sharks predate on fish and mammals, with powerful",jaws,-22.71251678466797,-21.591650009155273,-21.635974884033203,-21.594459533691406
"Piranhas eat fish, insects, lizards, mammals and",carrion,-20.072912216186523,-18.97183609008789,-18.962656021118164,-17.76769256591797
Women's shoes often have high heels and come in many styles and,colors,-5.455912113189697,-3.4240267276763916,-3.463442802429199,-15.721434593200684
Whales breathe through blowholes on their heads when,surfacing,-16.651636123657227,-16.127552032470703,-16.22188949584961,-21.018091201782227
A cooperative is a farm where many farmers share the land and,equipment,-10.506258010864258,-9.58304500579834,-10.59260368347168,-17.954172134399414
The clarinet player chooses notes by pressing keys and,holes,-12.11155891418457,-11.071537017822266,-10.848271369934082,-15.830321311950684
A sweater is a heavy garment worn on the torso for,warmth,-10.066434860229492,-8.428180694580078,-8.94301986694336,-18.414440155029297
"A bed is made of a mattress and a box spring, plus sheets, pillows and",covers,-7.199461936950684,-7.372759819030762,-7.315544128417969,-14.707752227783203
Coffee is the world's seventh-largest legal agricultural,export,-7.400214672088623,-6.793845176696777,-6.6733808517456055,-14.22579574584961
"A swamp is covered with shallow water, mud and",vegetation,-16.962316513061523,-16.56618309020996,-16.381864547729492,-17.975425720214844
Large numbers of people have to migrate away from dust bowls during,droughts,-17.568918228149414,-17.617464065551758,-17.605966567993164,-19.570096969604492
"Killing in self-defense, accidentally or in war is not considered",murder,-10.550568580627441,-9.990348815917969,-9.679420471191406,-12.716719627380371
Thieves steal to own something or to sell it to,receivers,-22.503345489501953,-18.79840850830078,-19.133174896240234,-23.428373336791992
"Flood can be caused by heavy rain or rapid snow melt, as well as earthquakes at",sea,-12.767858505249023,-12.076086044311523,-12.216266632080078,-11.475292205810547
An igloo is a type of shelter made from blocks of snow by,Inuit,-12.760430335998535,-12.728658676147461,-13.382793426513672,-13.574873924255371
"Saws can be worked by hand, or powered by an electric motor or gas",engine,-6.883393287658691,-5.935234546661377,-5.463714122772217,-11.400888442993164
A blender is a kitchen appliance used to mix ingredients or puree,food,-6.2053070068359375,-6.970887184143066,-6.9716796875,-11.81655502319336
A tropical cyclone is a storm formed over warm tropical,sea,-8.387567520141602,-7.556246757507324,-7.442541122436523,-12.430434226989746
Cats like to groom themselves by licking their,fur,-6.40395975112915,-4.836207389831543,-3.7937307357788086,-15.065670013427734
Scissors are a two-bladed instrument used for,cutting,-6.429158687591553,-4.9935808181762695,-4.6112260818481445,-13.836233139038086
Hot deserts are usually filled with sand dunes or,rocks,-10.923937797546387,-11.10086441040039,-10.924237251281738,-14.028885841369629
Parrots can imitate the human voice if they hear it,repeatedly,-11.14697551727295,-11.035726547241211,-10.687240600585938,-16.080265045166016
"Igloos are often built in the shape of a dome, with an entrance",tunnel,-13.18326473236084,-12.191889762878418,-11.935214042663574,-14.597203254699707
"Chairs can also have back and arm rests, as well as a",cushion,-19.190481185913086,-20.2137393951416,-19.542285919189453,-18.85356330871582
Girls sometimes grow long hair and wear dresses and,skirts,-12.563545227050781,-11.70844554901123,-12.425870895385742,-18.666545867919922
Arson is the criminal act of burning a building or,wildland,-13.477736473083496,-12.794415473937988,-12.884750366210938,-16.682722091674805
Many bees have stingers and can attack if they feel,threatened,-8.285019874572754,-7.62606954574585,-7.578877925872803,-18.136409759521484
A bed is a piece of furniture used as a place to sleep or have sex,in,-5.049888610839844,-4.835701942443848,-4.5067338943481445,-9.812296867370605
Grenades can also be fired from rifles or shoulder,launchers,-18.901823043823242,-17.78470230102539,-17.848920822143555,-18.964834213256836
"People also use their feet to kick, in both fighting and",sports,-9.376946449279785,-7.049788475036621,-7.463796138763428,-13.358658790588379
"A soldier in the militia must wear a uniform, usually",camouflage,-16.75263214111328,-16.367067337036133,-16.864791870117188,-18.042129516601562
Shears are large scissors used for cutting shrubs or pieces of,metal,-9.332067489624023,-7.2760539054870605,-7.476373195648193,-13.177457809448242
Forks are used to lift food to the mouth or to hold food in place while,cutting,-8.917004585266113,-8.26980972290039,-8.258456230163574,-14.750944137573242
A mug is a sturdy cup with a handle for drinking hot,liquids,-24.031557083129883,-24.975740432739258,-24.415437698364258,-20.78714370727539
Mountains rise higher than hills and sometimes have snow at the,top,-6.605288505554199,-5.9891581535339355,-5.809823513031006,-12.716931343078613
Other types of doors can slide or consist of a revolving,chamber,-9.815423011779785,-9.38260269165039,-8.986635208129883,-14.137801170349121
An adult male behaving immaturely is often referred to as a,boy,-10.403813362121582,-9.796154022216797,-9.867388725280762,-9.068236351013184
A parrot is a bird that lives in warm and tropical,regions,-4.073348045349121,-2.8960952758789062,-2.677347421646118,-19.119625091552734
"Depending on the size and format, scissors can cut paper, hair or",fabric,-9.305584907531738,-8.98524284362793,-9.061229705810547,-13.55467414855957
A shark is a large fish with a cartilage,skeleton,-13.091896057128906,-13.096576690673828,-12.938023567199707,-20.225894927978516
"Some patients go to hospitals for specialist diagnosis or therapy, leaving the same",day,-8.750445365905762,-8.037373542785645,-7.575389385223389,-13.94895076751709
A blacksmith hammers and bends hot iron on an anvil to change its,shape,-4.1638054847717285,-3.5035085678100586,-3.3594982624053955,-12.842641830444336
"A ship can be powered in the ocean by sails, steam, or diesel",engines,-2.8270297050476074,-2.9675445556640625,-2.3904943466186523,-12.777059555053711
Log cabins were used as first shelters by european,settlers,-15.128586769104004,-14.461686134338379,-14.56779670715332,-20.282426834106445
Piranhas have very sharp teeth and are opportunistic,carnivores,-19.094623565673828,-18.007503509521484,-16.370996475219727,-18.72281265258789
Swamps are nesting and breeding grounds for birds and,reptiles,-18.891557693481445,-19.33878517150879,-18.63055419921875,-20.152999877929688
An apartment is a self-contained home that is part of a,building,-5.338817596435547,-3.5698323249816895,-3.5317957401275635,-11.785927772521973
The raspberry is a fruit that grows in forest clearings or,fields,-6.176690578460693,-7.716917991638184,-7.959793567657471,-16.053760528564453
A wall is a solid structure that defines and sometimes protects an,area,-4.162662029266357,-3.312304735183716,-3.321141242980957,-13.100147247314453
Drunk driving is the act of driving under the effects of,alcohol,-5.510441780090332,-3.4100289344787598,-3.656792640686035,-12.579087257385254
The mouth is also used for kissing and,talking,-7.022199630737305,-6.749987602233887,-6.862962245941162,-11.570992469787598
Toaster ovens allow bread to be cooked with toppings like garlic or,cheese,-6.8032546043396,-5.488624572753906,-5.7393975257873535,-9.871736526489258
Newborn animals must be fed milk before they can eat solid,food,-6.3149895668029785,-4.837810516357422,-4.9628825187683105,-9.93405818939209
Tear gas grenades are thrown into the middle of a mob to disperse,it,-7.6871232986450195,-5.94158411026001,-5.92661190032959,-10.51754093170166
"A dress is usually worn at formal occasions, such as a wedding or a",dance,-8.998441696166992,-7.787803649902344,-8.380647659301758,-11.344698905944824
Liquid produced from soybeans and coconuts is sometimes called,milk,-11.125274658203125,-11.620511054992676,-10.68705940246582,-10.070762634277344
"Carpenters build and repair houses, furniture, boats and other",objects,-6.83156681060791,-6.196934223175049,-5.964962959289551,-14.12152099609375
Blenders are also used to make cold alcoholic drinks with crushed,ice,-5.064782619476318,-5.056399345397949,-5.472602844238281,-11.051167488098145
"A bee is a flying insect, with a black and yellow body and six",legs,-6.292285442352295,-4.8324995040893555,-5.158055782318115,-15.280811309814453
A refrigerator is generally white and people often put magnets on its,surface,-6.146374702453613,-5.353035926818848,-5.867938995361328,-13.924850463867188
"A library is a place where a collection of books, documents and media is",kept,-5.383546352386475,-5.178534030914307,-5.81824254989624,-16.704164505004883
A tomato softens and changes color from green to red as it gets more,ripe,-18.812759399414062,-18.621614456176758,-18.220001220703125,-18.154796600341797
Unripe bananas and plantains are staple foods and often cooked like,potatoes,-7.234302043914795,-6.781016826629639,-6.759181976318359,-13.049734115600586
Cruise ships are floating hotels that take people between,cities,-12.158531188964844,-11.285262107849121,-12.09033489227295,-13.262584686279297
A mug is thick and has a ring base for thermal,insulation,-14.46384334564209,-14.142061233520508,-13.957357406616211,-19.718481063842773
A raven is a large black bird that thrives in many,climates,-15.36097526550293,-14.870635986328125,-14.563386917114258,-18.4013614654541
A screwdriver is a tool for inserting and tightening screws into,something,-8.159823417663574,-6.3851213455200195,-6.320489406585693,-11.369215965270996
Disposable rubber or latex gloves are used to shield hands from germs or,chemicals,-9.404004096984863,-7.476893424987793,-7.958700656890869,-14.345985412597656
"People set cutlery, plates and food on a table to eat a meal",together,-10.1737642288208,-8.49372673034668,-8.189109802246094,-15.788276672363281
"People often put carpets on a floor, for comfort and to dampen",noise,-7.215340614318848,-5.689680099487305,-6.272199630737305,-14.42015552520752
"Carpenters use tools such as hammers, saws, pliers and",planes,-12.980260848999023,-12.889561653137207,-13.080504417419434,-14.851078987121582
During a flood people evacuate and the contaminated water causes,diseases,-7.060551166534424,-9.200116157531738,-9.412403106689453,-17.221942901611328
Primates usually have four fingers and a thumb on each,hand,-3.6498212814331055,-3.325895071029663,-3.1310441493988037,-11.876319885253906
"An apple is a fruit that can be green, red or",yellow,-4.315947532653809,-2.471332550048828,-2.2748074531555176,-9.75723934173584
Cats are small furry animals with four legs and a,tail,-5.142371654510498,-4.20109748840332,-3.927780866622925,-14.242331504821777
Arson can be done to cause damage to others or collect,insurance,-10.462159156799316,-8.966055870056152,-9.333291053771973,-15.20626163482666
A girl is a female human who has not yet reached,maturity,-12.010848999023438,-10.151962280273438,-10.733736991882324,-22.555706024169922
A blacksmith creates objects by forging iron or,steel,-5.737161159515381,-5.35551643371582,-5.309814453125,-12.353983879089355
Passengers or cargo enter trains from a train station platform next to the,line,-7.523197174072266,-7.268884658813477,-7.1461992263793945,-12.35378360748291
Spears were used for stabbing or throwing when fighting in,war,-9.00002384185791,-5.705767631530762,-5.4267473220825195,-10.748982429504395
"Mosquitos are thin, small flying insects that emit a high-pitched",sound,-6.527529239654541,-5.651477336883545,-5.1642913818359375,-13.25268268585205
"Saws are used extensively in forestry, construction, carpentry and",medicine,-12.53145980834961,-10.444114685058594,-10.784607887268066,-12.945767402648926
Television content can be broadcast or received via cable or,internet,-6.0460944175720215,-5.275012016296387,-5.006634712219238,-14.217592239379883
Orange juice is a drink made from the liquid in orange,pulp,-18.556903839111328,-17.395687103271484,-17.105022430419922,-16.71693229675293
Log cabins were built using logs with notch joints at the,ends,-7.94225549697876,-5.852293014526367,-5.93856143951416,-12.814972877502441
Milk is a white liquid produced by female mammals to feed their,young,-4.0293989181518555,-3.171452283859253,-3.6415860652923584,-15.405271530151367
Sharks have very keen senses and can detect electrical,fields,-10.194280624389648,-9.415446281433105,-9.130928993225098,-16.158592224121094
Train stations have counters or machines for purchasing,tickets,-4.533824920654297,-4.488886833190918,-4.543506622314453,-10.629188537597656
The piano repertoire is large and famous pianists can give solo,concerts,-7.346494197845459,-5.753634452819824,-5.9826555252075195,-15.28376293182373
The blubber in a whale serves as an energy reservoir and as,insulation,-14.298890113830566,-14.404415130615234,-13.83564567565918,-17.756017684936523
There are waiting rooms and places to eat in a train,station,-3.0902915000915527,-2.047358989715576,-2.2706246376037598,-13.357169151306152
A sneaker is a shoe for sports and athletic,activity,-4.589205741882324,-4.242753028869629,-4.562707424163818,-13.27727222442627
The grooves make the bullets spin around the rifle axis as they fly through the,air,-6.38796329498291,-6.248106479644775,-6.477426052093506,-13.065216064453125
Librarians work at libraries and are experts at finding and organizing,information,-5.129891395568848,-2.888272523880005,-3.0697293281555176,-14.384647369384766
Gloves to protect against cold are made of wool or lined waterproof,material,-6.168149948120117,-5.527166843414307,-5.1300458908081055,-13.890209197998047
"Blacksmiths make objects like weapons, horse shoes or iron",furniture,-13.367396354675293,-11.907925605773926,-11.392838478088379,-16.902742385864258
Mosquitos have mouthparts for piercing the skin of plants and,animals,-6.891607284545898,-4.7425689697265625,-4.161561965942383,-12.186254501342773
Knives have also been used as weapons and instruments in,rituals,-17.764564514160156,-16.75972557067871,-17.27253532409668,-18.050783157348633
Spears were the most common personal weapon before the advent of,firearms,-12.97891616821289,-13.02155876159668,-11.891274452209473,-18.09477424621582
Leaves of the raspberry are used fresh or dried in herbal,teas,-16.73555564880371,-17.65369987487793,-17.377445220947266,-17.359302520751953
Drought will cause crops and plants to stop growing and,die,-6.7821149826049805,-8.042659759521484,-8.525390625,-13.846035957336426
"Broccoli has a green flower head and a thick, tough",stalk,-14.373271942138672,-13.631180763244629,-13.654912948608398,-18.614364624023438
"One accordion keyboard is used for individual notes, the other for",chords,-14.024080276489258,-14.002362251281738,-14.258896827697754,-16.549880981445312
The term boy is used to indicate sex distinctions relative to,girls,-7.272941589355469,-5.747796058654785,-5.695642948150635,-11.646209716796875
"Coffee is made from coffee beans, the seeds of the coffee",plant,-7.440201759338379,-4.286057472229004,-4.707802772521973,-12.347625732421875
Log cabin is a symbol of American frontier life and humble,origins,-21.050806045532227,-19.93854331970215,-19.855953216552734,-18.93638038635254
Bees are social insects and live together in a colony located in a,hive,-20.968032836914062,-19.92066192626953,-19.66558074951172,-16.530399322509766
In folklore ravens are birds of ill-omen and also,tricksters,-10.949780464172363,-10.52371883392334,-10.517342567443848,-21.562711715698242
A cubicle consists of a desk surrounded by partitions on three,sides,-4.9172492027282715,-3.9788637161254883,-4.074582576751709,-14.339944839477539
Broccoli is a plant in the cabbage,family,-0.8398048877716064,-1.3678081035614014,-1.4741156101226807,-14.987568855285645
A refrigerator is a cooling device used to contain and preserve,food,-4.855240345001221,-5.16605281829834,-4.969206809997559,-10.220020294189453
"Parrots have brightly-colored feathers and a sharp, curved",beak,-15.861921310424805,-18.2763614654541,-18.764480590820312,-20.558435440063477
A fire investigation determines if a fire was caused by accident or,arson,-20.802257537841797,-19.49530029296875,-19.947877883911133,-20.949626922607422
Spiders can be as small as a coin or as big as a,bird,-12.222692489624023,-10.85851001739502,-11.81521987915039,-12.850956916809082
"A desk is a piece of furniture used for working at, sometimes with a",computer,-5.007711887359619,-3.788634777069092,-4.197680950164795,-12.499518394470215
Salmon flesh is orange or red and has high protein content and a nice,taste,-8.847949981689453,-7.029204368591309,-7.162891387939453,-14.220155715942383
The claw on the head of the hammer can be used to remove,nails,-14.979071617126465,-12.561715126037598,-13.034992218017578,-15.792983055114746
A television is an appliance with a screen that displays moving,images,-4.002728462219238,-2.9653995037078857,-3.2532742023468018,-15.283008575439453
A typical window is made of sheets of glass held in place by,frames,-10.078035354614258,-9.988783836364746,-9.274240493774414,-14.628617286682129
In a flood a river will flow out of its channel or break dams and,levees,-16.83956527709961,-16.81903648376465,-16.60053253173828,-19.07378578186035
"In a volunteer army, a soldier is paid for his or her",work,-5.153191566467285,-5.006448268890381,-5.410567283630371,-12.18878173828125
"Water is the most common liquid on Earth, covering 70% of its",area,-10.235596656799316,-10.554813385009766,-10.189653396606445,-13.179987907409668
Farmers often drain swamps to produce fertile arable,land,-5.097752571105957,-4.973977565765381,-5.023524761199951,-13.101515769958496
The appearance and abilities of parrots makes them popular,pets,-6.758301734924316,-7.208637237548828,-7.065213203430176,-13.541707038879395
"Broccoli is high in vitamins, fiber and other",nutrients,-9.351432800292969,-9.775471687316895,-8.944849967956543,-20.82273292541504
Traditionally boys like to play rough games and fight with each,other,-3.939971923828125,-2.336124897003174,-2.364780902862549,-13.10196590423584
"Horses have been used for draft work, travel and",entertainment,-8.151531219482422,-7.452773094177246,-7.612665176391602,-16.840669631958008
"Modern knives consist of a handle and a blade, usually made of",metal,-6.984947204589844,-6.700996398925781,-6.878603935241699,-12.838661193847656
A woman is stereotypically seen as a,caregiver,-22.635417938232422,-21.67096710205078,-21.086091995239258,-18.617740631103516
"Air pockets in snow insulate the igloo space, and body heat warms",it,-6.2442426681518555,-5.602848052978516,-5.752291202545166,-10.373495101928711
Hand grenades are thrown and timed to explode a bit after,that,-9.785445213317871,-9.033202171325684,-9.946255683898926,-9.682123184204102
Metamorphosis is the transformation of a caterpillar into a,butterfly,-14.090620994567871,-13.329436302185059,-13.284295082092285,-19.005054473876953
A boy is a young male child who has not undergone,puberty,-12.379794120788574,-11.214308738708496,-11.276853561401367,-17.49175262451172
A train is a connected series of cars that moves between stations on a,track,-6.776616096496582,-6.002925872802734,-6.471067428588867,-12.327014923095703
A convicted murderer is often given a life sentence or the death,penalty,-8.318193435668945,-7.35326623916626,-8.24250316619873,-13.962263107299805
"Piranhas are small, ferocious fish that live in South American",rivers,-7.75083065032959,-6.139425754547119,-6.238455772399902,-16.041460037231445
The axe usually consists of a head attached to a,handle,-7.198679447174072,-4.723447322845459,-4.75425910949707,-14.316502571105957
Spiders build webs with silk and use them to catch,insects,-17.908592224121094,-16.44076156616211,-15.76472282409668,-14.75960922241211
A glove is a piece of clothing that covers the hand and,fingers,-8.385577201843262,-7.159351348876953,-7.248467445373535,-14.35195255279541
A saw is a tool that uses a hard blade or abrasive wire to cut hard,materials,-4.464052677154541,-3.649955987930298,-3.7579097747802734,-16.084495544433594
"A knife can be used to attack by slashing, stabbing or",throwing,-5.687222957611084,-6.193415641784668,-6.555750846862793,-14.158236503601074
"Sharks have streamlined bodies, with a large dorsal",fin,-7.758761882781982,-8.246106147766113,-8.260746955871582,-13.893352508544922
"There are many varieties of tomato, with different sizes and",tastes,-5.890513896942139,-5.51146936416626,-6.128893852233887,-14.295616149902344
A single raspberry consists of many small fruits joined,together,-2.418614149093628,-2.108677387237549,-1.9698796272277832,-13.912429809570312
Spears are weapons that consist of a pole and sharpened head at one,end,-3.16485333442688,-1.1064918041229248,-1.6595358848571777,-10.33248233795166
"Forks are usually  made of metal, or plastic, if",disposable,-12.274452209472656,-11.463373184204102,-10.875082969665527,-14.587020874023438
"The finger tips are sensitive to temperature, pressure and",vibration,-14.368460655212402,-15.515854835510254,-15.09484577178955,-19.453697204589844
"Forks are used in Western cultures, and there are special kinds for various",foods,-8.27739429473877,-8.152463912963867,-8.81464672088623,-13.803906440734863
Different notes are made by fingering the violin neck with one hand while,bowing,-13.665468215942383,-12.760801315307617,-13.394618034362793,-14.961080551147461
It can be hard to climb stairs or ride a bike in a,dress,-14.398662567138672,-13.313334465026855,-13.63428020477295,-15.627307891845703
The biggest hot desert is the Sahara in northern,Africa,-1.7417471408843994,-2.387702465057373,-2.1935367584228516,-11.08618450164795
Televisions are used to play videogames when connected to a game,console,-5.466965198516846,-4.255505561828613,-4.136161804199219,-13.272065162658691
Dairy products such as cheese and butter are made from,milk,-5.865633010864258,-4.7938995361328125,-5.598844528198242,-8.6716947555542
"Most animals have complex eyes which can detect color, motion and",texture,-7.062338829040527,-7.059842586517334,-7.772481918334961,-12.381675720214844
A woman has different reproductive organs than a,man,-3.2884836196899414,-1.9647765159606934,-2.1715891361236572,-10.273900985717773
The axe is a tool used to split and cut,wood,-8.291425704956055,-5.045106887817383,-4.268289566040039,-12.93470287322998
A knife is a tool with a sharp edge that is used to cut,things,-7.029231071472168,-6.3042497634887695,-6.348137378692627,-13.834795951843262
Seats are fixed chairs located in vehicles or in places like,cinemas,-16.912723541259766,-18.7396240234375,-18.261232376098633,-18.498140335083008
Extreme drought will eventually turn areas into desert and cause,famine,-16.875402450561523,-16.80731201171875,-16.921058654785156,-16.58355140686035
"Rifles are used in hunting and shooting sports, sometimes with",scopes,-16.374530792236328,-16.538484573364258,-17.10106658935547,-20.87388801574707
A train station is a place where passengers get on or off a,train,-2.683480978012085,-2.8077032566070557,-3.3122777938842773,-7.252167701721191
Drunk driving plays a role in almost half of all vehicle-related,deaths,-4.262063503265381,-3.2216081619262695,-3.303281784057617,-16.609025955200195
